Occupation,Career_Cluster,Career_Pathway,Top_10_Skills
Fitness and Wellness Coordinators,Education & Training,Administration and Administrative Support,"customer service_57,communication_47,sales_38,training_34,leadership_33,hiring_28,scheduling_26,high school diploma_22,personal training_19,interpersonal skills_19"
Archivists,Education & Training,Professional Support Services,"records management_7,project management_4,communication skills_4,information management_3,microsoft office suite_3,microsoft office_3,risk and compliance_2,communication_2,oracle fusion_2,electronic records management_2"
Curators,Education & Training,Professional Support Services,"leadership_10,customer service_8,communication_8,project management_6,collections management_6,communication skills_6,collection management_5,attention to detail_5,collaboration_4,time management_4"
"Educational, Guidance, and Career Counselors and Advisors",Education & Training,Professional Support Services,"counseling_357,communication_230,teamwork_172,communication skills_171,case management_161,crisis intervention_161,interpersonal skills_156,time management_145,problem solving_130,customer service_115"
Instructional Coordinators,Education & Training,Professional Support Services,"curriculum development_30,instructional design_29,communication_28,collaboration_24,project management_20,professional development_19,data analysis_18,communication skills_18,problem solving_17,interpersonal skills_15"
Interpreters and Translators,Education & Training,Professional Support Services,"interpreting_2,written and oral communication_2,teamwork_2,american sign language (asl)_2,spoken languages_1,inperson services_1,healthcare_1,social services_1,legal_1,technical_1"
Librarians and Media Collections Specialists,Education & Training,Professional Support Services,"customer service_16,troubleshooting_13,attention to detail_9,teamwork_9,communication skills_8,project management_7,communication_7,collection development_7,problem solving_6,problemsolving_6"
Library Technicians,Education & Training,Professional Support Services,"customer service_6,communication_5,teamwork_5,library services_5,animation_4,graphic design_4,attention to detail_4,library science_4,creativity_3,content management systems (cms)_3"
Museum Technicians and Conservators,Education & Training,Professional Support Services,"art handling_2,packing_2,forklift operation_2,customer service_2,teamwork_2,physical strength_2,attention to detail_2,project management_2,covid19 vaccination_2,warehousing_1"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Education & Training,Teaching/Training,"teaching_44,communication_39,communication skills_38,lesson planning_38,curriculum development_32,bachelor's degree_27,teamwork_27,education_25,interpersonal skills_24,collaboration_22"
"Agricultural Sciences Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_206,research_189,communication_83,leadership_71,mentoring_62,curriculum vitae_61,diversity_60,collaboration_57,cover letter_57,service_54"
"Anthropology and Archeology Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_259,research_214,communication_101,cover letter_89,curriculum vitae_78,leadership_75,diversity_75,curriculum development_73,mentoring_71,teaching experience_71"
"Architecture Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_265,research_218,communication_104,cover letter_88,curriculum vitae_78,diversity_77,leadership_76,curriculum development_74,teaching experience_73,mentoring_71"
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_238,research_200,cover letter_84,communication_76,curriculum vitae_72,diversity_67,mentoring_66,leadership_60,teaching experience_60,curriculum development_58"
"Art, Drama, and Music Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_221,research_189,interpersonal skills_114,teamwork_110,communication_107,leadership_84,customer service_78,physical fitness_70,coaching_69,mentoring_64"
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_262,research_217,communication_102,cover letter_88,curriculum vitae_78,diversity_77,leadership_76,curriculum development_73,teaching experience_72,mentoring_71"
"Biological Science Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_267,research_217,communication_106,cover letter_89,curriculum vitae_78,curriculum development_78,leadership_76,diversity_75,mentoring_71,teaching experience_71"
"Business Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_265,research_217,communication_108,cover letter_88,leadership_78,curriculum vitae_78,curriculum development_77,diversity_76,collaboration_72,teaching experience_72"
"Career/Technical Education Teachers, Middle School",Education & Training,Teaching/Training,"collaboration_5,curriculum development_5,communication_5,lesson planning_4,professional development_4,adaptability_3,assessment_3,safeguarding_3,educational technology_2,data analysis_2"
"Career/Technical Education Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_224,research_190,communication_124,communication skills_92,leadership_81,collaboration_79,curriculum development_76,teamwork_75,mentoring_73,interpersonal skills_71"
"Career/Technical Education Teachers, Secondary School",Education & Training,Teaching/Training,"communication_50,communication skills_47,interpersonal skills_39,teaching_36,organizational skills_34,teamwork_32,curriculum development_29,cosmetology_28,lesson planning_27,professional development_23"
"Chemistry Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_263,research_216,communication_101,cover letter_89,curriculum vitae_79,leadership_77,diversity_76,teaching experience_74,curriculum development_74,mentoring_71"
Coaches and Scouts,Education & Training,Teaching/Training,"communication_135,customer service_122,first aid_99,cpr_85,communication skills_79,teamwork_77,swimming_67,coaching_65,teaching_55,leadership_54"
"Communications Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_263,research_218,communication_103,cover letter_89,curriculum vitae_79,diversity_77,leadership_76,curriculum development_74,teaching experience_72,mentoring_71"
"Computer Science Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_264,research_218,communication_103,cover letter_88,curriculum vitae_78,diversity_76,leadership_75,curriculum development_75,teaching experience_72,mentoring_71"
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_206,research_190,communication_83,leadership_74,mentoring_62,diversity_62,curriculum vitae_61,collaboration_57,cover letter_57,curriculum development_54"
"Economics Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_266,research_218,communication_106,cover letter_88,curriculum vitae_78,diversity_77,leadership_76,curriculum development_76,teaching experience_73,mentoring_71"
"Education Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_280,research_224,communication_136,collaboration_95,leadership_89,cover letter_89,mentoring_86,curriculum development_83,curriculum vitae_78,teamwork_77"
"Elementary School Teachers, Except Special Education",Education & Training,Teaching/Training,"early childhood education_51,working with children check_39,first aid certificate_39,communication_38,teamwork_30,lesson planning_30,classroom management_30,professional development_26,bachelor's degree_26,collaboration_23"
"Engineering Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_263,research_217,communication_102,cover letter_88,curriculum vitae_78,leadership_77,diversity_77,curriculum development_74,teaching experience_73,mentoring_71"
"English Language and Literature Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_277,research_219,communication_112,cover letter_89,curriculum development_84,leadership_80,diversity_79,curriculum vitae_78,collaboration_75,teaching experience_74"
"Environmental Science Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_267,research_218,communication_127,cover letter_88,mentoring_86,leadership_79,curriculum vitae_78,diversity_77,curriculum development_77,collaboration_76"
"Family and Consumer Sciences Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_264,research_216,communication_102,cover letter_88,curriculum vitae_78,diversity_77,leadership_76,curriculum development_74,teaching experience_73,mentoring_71"
Farm and Home Management Educators,Education & Training,Teaching/Training,"researching_1,interpreting_1,staffing reports_1,personnel management_1,training_1,leave_1,staffing_1,administration_1,federal employment_1,education_1"
"Foreign Language and Literature Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_270,research_214,communication_112,cover letter_88,curriculum vitae_78,curriculum development_78,leadership_77,diversity_77,collaboration_75,mentoring_71"
"Forestry and Conservation Science Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_259,research_215,communication_101,cover letter_88,curriculum vitae_78,leadership_75,diversity_75,curriculum development_72,mentoring_71,teaching experience_70"
"Geography Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_259,research_214,communication_101,cover letter_88,curriculum vitae_78,leadership_75,diversity_75,curriculum development_72,mentoring_71,teaching experience_70"
"Health Specialties Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_271,research_217,communication_106,cover letter_88,curriculum vitae_78,leadership_76,curriculum development_76,diversity_75,teaching experience_73,mentoring_72"
"History Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_261,research_214,communication_104,cover letter_89,curriculum vitae_78,diversity_76,leadership_75,curriculum development_73,mentoring_71,teaching experience_71"
"Kindergarten Teachers, Except Special Education",Education & Training,Teaching/Training,"communication_55,early childhood education_54,teamwork_43,working with children check_39,first aid certificate_39,communication skills_31,teaching_30,collaboration_25,curriculum development_23,coaching_22"
"Law Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_209,research_191,communication_84,leadership_72,mentoring_62,diversity_62,curriculum vitae_61,collaboration_60,cover letter_57,curriculum development_57"
"Library Science Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_259,research_214,communication_101,cover letter_88,curriculum vitae_78,leadership_75,diversity_75,curriculum development_72,mentoring_71,teaching experience_70"
"Mathematical Science Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_265,research_216,communication_107,cover letter_89,curriculum vitae_79,diversity_77,leadership_76,curriculum development_76,teaching experience_74,collaboration_73"
"Middle School Teachers, Except Special and Career/Technical Education",Education & Training,Teaching/Training,"early childhood education_49,communication_48,working with children check_39,first aid certificate_39,collaboration_38,lesson planning_34,teaching_33,teamwork_32,professional development_32,classroom management_30"
"Nursing Instructors and Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_325,research_249,communication_143,nursing_126,leadership_123,curriculum development_116,collaboration_111,patient care_97,cover letter_88,education_88"
"Philosophy and Religion Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_207,research_189,communication_102,mentoring_77,leadership_75,teamwork_65,collaboration_65,diversity_62,curriculum vitae_61,cover letter_57"
"Physics Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_265,research_216,communication_104,cover letter_88,curriculum vitae_78,diversity_77,leadership_76,curriculum development_76,teaching experience_72,mentoring_71"
"Political Science Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_265,research_218,communication_104,cover letter_88,curriculum vitae_78,diversity_77,leadership_76,curriculum development_74,teaching experience_73,mentoring_71"
"Postsecondary Teachers, All Other",Education & Training,Teaching/Training,"teaching_265,research_212,communication_110,cover letter_85,curriculum vitae_76,collaboration_75,diversity_74,curriculum development_74,mentoring_71,leadership_71"
"Preschool Teachers, Except Special Education",Education & Training,Teaching/Training,"communication_15,early childhood education_14,child development_12,teamwork_12,classroom management_11,collaboration_8,oac grow curriculum_8,lesson planning_7,creativity_7,professional development_6"
"Psychology Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_271,research_219,communication_109,cover letter_89,leadership_79,curriculum vitae_78,diversity_78,curriculum development_76,teaching experience_74,collaboration_72"
"Recreation and Fitness Studies Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_209,research_189,communication_93,leadership_78,mentoring_63,collaboration_62,diversity_62,curriculum vitae_61,communication skills_61,teamwork_58"
"Secondary School Teachers, Except Special and Career/Technical Education",Education & Training,Teaching/Training,"communication_52,early childhood education_49,teaching_45,collaboration_44,working with children check_39,first aid certificate_39,curriculum development_39,classroom management_35,bachelor's degree_35,teamwork_34"
Self-Enrichment Teachers,Education & Training,Teaching/Training,"teamwork_115,communication_104,interpersonal skills_103,customer service_99,coaching_94,physical fitness_80,communication skills_67,dance curriculum_54,dance instruction_50,dance_50"
"Social Sciences Teachers, Postsecondary, All Other",Education & Training,Teaching/Training,"teaching_64,cover letter_31,research_28,communication_27,curriculum development_23,master's degree_21,teaching experience_20,curriculum vitae_17,collaboration_16,grading_16"
"Social Work Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_269,research_219,communication_107,cover letter_88,leadership_78,curriculum vitae_78,diversity_77,curriculum development_75,teaching experience_73,mentoring_71"
"Sociology Teachers, Postsecondary",Education & Training,Teaching/Training,"teaching_265,research_218,communication_104,cover letter_88,curriculum vitae_78,diversity_77,leadership_76,curriculum development_74,teaching experience_73,mentoring_71"
"Special Education Teachers, All Other",Education & Training,Teaching/Training,"special education_28,classroom management_16,lesson planning_14,bachelor's degree_12,professional development_12,collaboration_11,teaching_10,communication_10,communication skills_9,data analysis_7"
"Special Education Teachers, Elementary School",Education & Training,Teaching/Training,"special education_32,classroom management_18,collaboration_16,bachelor's degree_15,communication_15,lesson planning_15,professional development_15,teaching_12,communication skills_11,data analysis_11"
"Special Education Teachers, Kindergarten",Education & Training,Teaching/Training,"communication_3,collaboration_3,problemsolving_3,teamwork_3,creativity_3,video conferencing_3,online resources_3,data analysis_3,flexibility_3,differentiation_2"
"Special Education Teachers, Middle School",Education & Training,Teaching/Training,"professional development_7,communication_6,collaboration_6,lesson planning_4,problem solving_4,curriculum development_4,bachelor's degree_3,video conferencing_3,online resources_3,australian curriculum_3"
"Special Education Teachers, Preschool",Education & Training,Teaching/Training,"special education_37,professional development_20,lesson planning_17,classroom management_17,communication_16,collaboration_16,bachelor's degree_13,teaching_13,communication skills_11,emotional support_9"
"Special Education Teachers, Secondary School",Education & Training,Teaching/Training,"special education_34,professional development_22,lesson planning_21,classroom management_18,collaboration_18,bachelor's degree_16,communication_15,communication skills_15,teaching_12,curriculum development_12"
"Substitute Teachers, Short-Term",Education & Training,Teaching/Training,"communication skills_7,classroom management_5,lesson planning_4,driver's license_4,organizational skills_4,substitute teaching_3,cpr/first aid certification_3,curriculum development_3,background check_2,data entry_2"
"Teachers and Instructors, All Other",Education & Training,Teaching/Training,"teaching_63,cover letter_31,communication_30,research_27,curriculum development_23,master's degree_21,teaching experience_20,problem solving_18,curriculum vitae_17,collaboration_16"
"Teaching Assistants, Postsecondary",Education & Training,Teaching/Training,"classroom management_14,communication_13,organizational skills_12,teaching_10,tutoring_8,bachelor's degree_8,decision making_7,attention to detail_6,proctoring_6,data analysis_6"
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Education & Training,Teaching/Training,"communication_12,classroom management_8,problem solving_7,education_6,teamwork_6,special education_5,data analysis_5,organizational skills_5,time management_5,life insurance_4"
"Teaching Assistants, Special Education",Education & Training,Teaching/Training,"professional development_3,special education_2,401k_2,life insurance_2,continuing education_2,professional liability coverage_2,licensure reimbursement_2,classroom aide_2,childcare associate_2,special education monitor_2"
Tutors,Education & Training,Teaching/Training,"time management_14,communication_11,microsoft office suite_7,problem solving_7,excel_7,organizational skills_7,classroom management_7,interpersonal skills_7,aat_6,acca_6"
Accountants and Auditors,Finance,Accounting,"accounting_2005,financial reporting_1095,attention to detail_965,budgeting_762,excel_760,analytical skills_759,communication skills_744,communication_740,financial analysis_666,journal entries_608"
Bill and Account Collectors,Finance,Banking Services,"customer service_72,collections_60,communication_43,problem solving_31,communication skills_27,time management_27,excel_24,negotiation_23,attention to detail_23,microsoft office_22"
Credit Analysts,Finance,Banking Services,"credit analysis_35,attention to detail_26,financial analysis_25,communication skills_22,analytical skills_19,credit risk management_17,sql_15,data analysis_15,teamwork_15,communication_15"
"Credit Authorizers, Checkers, and Clerks",Finance,Banking Services,"customer service_8936,communication_5021,problem solving_4241,retail experience_3902,communication skills_3442,teamwork_3256,high school diploma or equivalent_2639,problemsolving_2621,retail operations_2491,relationship management_2419"
Loan Interviewers and Clerks,Finance,Banking Services,"background investigation_20,report writing_19,law enforcement_18,medical clearance_18,psychological evaluation_18,customer service_16,communication_15,attention to detail_13,communication skills_12,investigation_12"
Loan Officers,Finance,Banking Services,"customer service_122,communication_83,communication skills_71,underwriting_64,attention to detail_58,credit analysis_57,problem solving_55,financial analysis_54,portfolio management_45,sales_44"
Loan Officers,Human Services,Consumer Services,"customer service_122,communication_83,communication skills_71,underwriting_64,attention to detail_58,credit analysis_57,problem solving_55,financial analysis_54,portfolio management_45,sales_44"
Tellers,Finance,Banking Services,"customer service_352,cash handling_139,teamwork_137,communication skills_127,communication_120,sales_114,attention to detail_102,crossselling_90,high school diploma_79,problemsolving_76"
Budget Analysts,Finance,Business Finance,"data analysis_124,communication_88,project management_73,accounting_69,budgeting_68,microsoft office suite_65,budget analysis_54,financial analysis_53,problem solving_51,reporting_51"
Financial Managers,Finance,Business Finance,"accounting_1937,financial reporting_1205,communication_1142,budgeting_1062,leadership_975,financial analysis_764,communication skills_690,attention to detail_672,finance_642,analytical skills_638"
Tax Preparers,Finance,Business Finance,"tax preparation_48,accounting_45,tax planning_29,communication skills_28,tax research_25,attention to detail_24,communication_21,tax compliance_18,cpa_18,analytical skills_17"
Treasurers and Controllers,Finance,Business Finance,"accounting_598,budgeting_513,financial reporting_506,forecasting_359,financial analysis_359,cost accounting_253,communication_236,finance_233,leadership_197,cpa_187"
Actuaries,Finance,Insurance,"actuarial science_39,communication skills_26,mathematics_24,data analysis_23,sql_22,excel_20,analytical skills_20,statistics_18,r_15,python_15"
"Claims Adjusters, Examiners, and Investigators",Finance,Insurance,"communication_52,customer service_46,communication skills_31,investigation_30,report writing_30,attention to detail_30,analytical skills_29,data analysis_27,time management_26,teamwork_26"
"Insurance Appraisers, Auto Damage",Finance,Insurance,"customer service_112,collision estimating_90,icar certification_70,ccc one total repair platform_57,communication_56,drp compliance_51,sales_50,high school diploma_44,time management_40,physical activity_40"
Insurance Claims and Policy Processing Clerks,Finance,Insurance,"communication_17,customer service_16,attention to detail_14,communication skills_12,time management_10,organizational skills_9,data analysis_9,teamwork_9,research_7,problemsolving_7"
Insurance Sales Agents,Finance,Insurance,"sales_1562,customer service_1236,communication_917,multitasking_513,teamwork_446,time management_437,life insurance_405,tuition reimbursement_337,health insurance_317,product knowledge_311"
Insurance Underwriters,Finance,Insurance,"underwriting_86,communication_48,insurance_42,customer service_34,risk assessment_34,analytical skills_31,problem solving_31,teamwork_30,bachelor's degree_30,attention to detail_29"
Brokerage Clerks,Finance,Securities & Investments,"customer service_86,communication_76,teamwork_41,communication skills_37,attention to detail_37,finance_35,organizational skills_31,bachelor's degree_31,time management_30,problem solving_30"
Financial and Investment Analysts,Finance,Securities & Investments,"financial analysis_284,data analysis_258,accounting_252,excel_240,communication_201,finance_185,budgeting_180,attention to detail_177,financial reporting_171,analytical skills_164"
Financial and Investment Analysts,Finance,Business Finance,"financial analysis_284,data analysis_258,accounting_252,excel_240,communication_201,finance_185,budgeting_180,attention to detail_177,financial reporting_171,analytical skills_164"
Financial Quantitative Analysts,Finance,Securities & Investments,"data analysis_271,financial analysis_193,communication_165,excel_155,sql_127,accounting_121,budgeting_120,attention to detail_107,data visualization_107,forecasting_103"
Financial Risk Specialists,Finance,Securities & Investments,"risk management_131,risk assessment_59,data analysis_56,communication_55,communication skills_53,risk mitigation_40,project management_39,risk reporting_37,analytical skills_36,risk analysis_32"
Financial Risk Specialists,Finance,Business Finance,"risk management_131,risk assessment_59,data analysis_56,communication_55,communication skills_53,risk mitigation_40,project management_39,risk reporting_37,analytical skills_36,risk analysis_32"
"Financial Specialists, All Other",Finance,Securities & Investments,"customer service_3,communication_2,microsoft office_2,interpersonal skills_2,project management_2,teamwork_2,problem solving_2,climate risk and resilience_2,just transition_2,climate risk disclosure_2"
"Fraud Examiners, Investigators and Analysts",Finance,Securities & Investments,"data analysis_32,report writing_32,law enforcement_27,communication_25,attention to detail_22,fraud detection_20,communication skills_20,analytical skills_20,background investigation_20,criminal justice_19"
Personal Financial Advisors,Finance,Securities & Investments,"sales_766,communication_639,account management_560,financial planning_529,customer service_499,communication skills_391,bachelor's degree_388,time management_383,business development_376,teamwork_331"
"Securities, Commodities, and Financial Services Sales Agents",Finance,Securities & Investments,"sales_3097,customer service_2755,communication_2416,teamwork_1315,time management_1124,communication skills_1091,negotiation_949,problem solving_900,attention to detail_820,multitasking_782"
"Securities, Commodities, and Financial Services Sales Agents",Marketing,Professional Sales,"sales_3097,customer service_2755,communication_2416,teamwork_1315,time management_1124,communication skills_1091,negotiation_949,problem solving_900,attention to detail_820,multitasking_782"
Aviation Inspectors,Government & Public Administration,Governance,"quality inspection_341,calipers_269,inspection_267,quality control_262,quality assurance_209,attention to detail_183,micrometers_170,blueprint reading_151,visual inspection_149,manufacturing_147"
Compliance Officers,Government & Public Administration,Governance,"compliance_86,communication_70,communication skills_61,attention to detail_60,data analysis_45,customer service_43,project management_41,regulatory compliance_41,time management_35,data entry_35"
Coroners,Government & Public Administration,Governance,"public relations_3,toxicology_2,forensic investigations_2,investigations_2,forensic medicine_2,discretion_2,tact_2,cremation_1,permits_1,forensic pathology_1"
Environmental Compliance Inspectors,Government & Public Administration,Governance,"communication_48,attention to detail_45,communication skills_39,compliance_38,project management_35,regulatory compliance_29,data analysis_28,environmental compliance_27,bachelor's degree_27,teamwork_26"
Equal Opportunity Representatives and Officers,Government & Public Administration,Governance,"data analysis_7,investigation_5,communication skills_5,report writing_4,interviewing_4,communication_4,confidentiality_4,microsoft office 365_4,legal research_3,microsoft office suite_3"
Financial Examiners,Government & Public Administration,Governance,"accounting_159,communication_145,data analysis_134,attention to detail_126,analytical skills_117,risk management_115,compliance_107,teamwork_101,internal audit_100,communication skills_97"
Government Property Inspectors and Investigators,Government & Public Administration,Governance,"quality assurance_117,attention to detail_73,communication_63,communication skills_48,problem solving_46,data analysis_41,compliance_40,bachelor's degree_34,microsoft office_33,analytical skills_33"
Legislators,Government & Public Administration,Governance,"english grammar_1,spelling_1,punctuation_1,office methods_1,procedures_1,practices_1,university infrastructure_1,policies_1,budget policies_1,university structure_1"
Regulatory Affairs Specialists,Government & Public Administration,Governance,"regulatory compliance_11,attention to detail_9,data analysis_8,project management_8,bachelor's degree_7,documentation_6,communication skills_6,communication_5,research_5,microsoft excel_5"
Transportation Inspectors,Government & Public Administration,Governance,"petroleum inspection_33,independent work_32,communication skills_31,analytical skills_31,communication_28,api procedures_27,flexible schedule_25,information synthesis_24,temperature measurement_23,reconciliation_22"
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Government & Public Administration,Governance,"quality assurance_61,valid driver's license_56,obd ii scanner_55,automotive experience_53,communication_46,iphone_44,data plan_42,attention to detail_40,driver's license_40,high school diploma_39"
Air Crew Members,Government & Public Administration,National Security,"gps_5,time management_5,land title surveys_5,construction staking_5,mapping_4,data collection_4,organization_4,autocad civil3d_4,trimble business center_4,drones_4"
Command and Control Center Officers,Government & Public Administration,National Security,"communication_3,project management_3,teamwork_3,problem solving_3,microsoft office_2,army acquisition_2,program management_2,statements of work_2,integrated master schedules_2,direct fire weapons systems_2"
Command and Control Center Specialists,Government & Public Administration,National Security,"intelligence analysis_33,counter intelligence_26,strategic analysis_21,leadership_21,threat assessment_20,data analysis_20,targeting intelligence_19,human intelligence_18,writing_17,attention to detail_16"
"Engineering Technologists and Technicians, Except Drafters, All Other",Government & Public Administration,National Security,"troubleshooting_74,communication_70,communication skills_66,teamwork_62,data analysis_54,attention to detail_44,project management_39,problem solving_36,problemsolving_35,microsoft office_32"
"Engineering Technologists and Technicians, Except Drafters, All Other",Manufacturing,Manufacturing Production Process Development,"troubleshooting_74,communication_70,communication skills_66,teamwork_62,data analysis_54,attention to detail_44,project management_39,problem solving_36,problemsolving_35,microsoft office_32"
First-Line Supervisors of Weapons Specialists/Crew Members,Government & Public Administration,National Security,"project management_519,communication_503,scheduling_457,construction management_405,quality control_365,leadership_345,construction_209,problem solving_208,subcontractor management_201,safety management_184"
Infantry Officers,Government & Public Administration,National Security,"command_1,leading_1,planning_1,training_1,intelligence_1,logistics_1,personnel administration_1,physical fitness_1,outdoor work_1,weaponry_1"
"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",Government & Public Administration,National Security,"intelligence analysis_27,data analysis_15,critical thinking_13,military symbology_10,attention to detail_9,research_9,communication skills_8,computer systems_8,information gathering_7,intelligence reporting_7"
"Military Officer Special and Tactical Operations Leaders, All Other",Government & Public Administration,National Security,"counter intelligence_26,leadership_19,targeting intelligence_19,threat assessment_18,strategic analysis_17,human intelligence_17,source handling_15,imagery analysis_15,writing_14,oral briefing_14"
Transportation Security Screeners,Government & Public Administration,National Security,"security_22,customer service_20,driver's license_18,communication_13,communication skills_12,first aid_11,emergency response_11,drug test_9,teamwork_8,cpr_8"
Bioinformatics Technicians,Government & Public Administration,Planning,"data analysis_179,sql_95,data visualization_79,python_76,communication_72,r_53,tableau_52,problem solving_48,project management_45,collaboration_45"
Statistical Assistants,Government & Public Administration,Planning,"data analysis_37,communication skills_26,actuarial science_23,teamwork_20,mathematics_20,communication_20,time management_18,statistics_17,research_17,sql_15"
Urban and Regional Planners,Government & Public Administration,Planning,"communication_96,project management_76,planning_72,scheduling_61,primavera p6_48,data analysis_40,time management_37,teamwork_37,problem solving_37,microsoft office_34"
Urban and Regional Planners,"Science, Technology, Engineering & Mathematics",Science and Mathematics,"communication_96,project management_76,planning_72,scheduling_61,primavera p6_48,data analysis_40,time management_37,teamwork_37,problem solving_37,microsoft office_34"
"Court, Municipal, and License Clerks",Government & Public Administration,Public Management and Administration,"customer service_95,data entry_56,patient registration_54,communication_44,insurance verification_44,medical terminology_39,microsoft office_36,communication skills_33,high school diploma_25,teamwork_22"
"Eligibility Interviewers, Government Programs",Government & Public Administration,Public Management and Administration,"case management_474,communication_213,social work_164,crisis intervention_153,teamwork_135,documentation_134,communication skills_132,human services_121,time management_112,counseling_108"
Emergency Management Directors,Government & Public Administration,Public Management and Administration,"change management_9,project management_5,problem solving_5,communication_4,microsoft office_4,microsoft office suite_3,leadership_3,emergency preparedness_2,bachelor's degree_2,gmp manufacturing_2"
Postmasters and Mail Superintendents,Government & Public Administration,Public Management and Administration,"customer service_12,communication_9,training_6,leadership_6,performance management_4,excel_4,time management_4,roadnet_4,problemsolving skills_4,multitasking_4"
Agricultural Inspectors,Government & Public Administration,Regulation,"compliance_36,communication_24,attention to detail_24,bachelor's degree_22,project management_19,data analysis_17,communication skills_16,microsoft office suite_15,problem solving_14,time management_14"
Construction and Building Inspectors,Government & Public Administration,Regulation,"construction inspection_256,communication_159,civil engineering_135,attention to detail_117,communication skills_101,microsoft office_97,building codes_96,construction_94,time management_93,project management_90"
Occupational Health and Safety Specialists,Government & Public Administration,Regulation,"communication_48,safety_32,teamwork_30,communication skills_28,microsoft office suite_28,incident investigation_27,microsoft office_26,safety training_26,osha_26,problem solving_26"
Occupational Health and Safety Technicians,Government & Public Administration,Regulation,"communication_19,teamwork_18,industrial hygiene_17,microsoft office_17,problem solving_14,incident investigation_14,communication skills_13,microsoft office suite_13,data analysis_13,leadership_13"
Appraisers and Assessors of Real Estate,Government & Public Administration,Revenue and Taxation,"field inspection_14,contract administration_14,communication skills_13,project management_12,project coordination_12,construction administration_11,high school diploma_10,communication_10,microsoft office suite_9,attention to detail_9"
Appraisers of Personal and Business Property,Government & Public Administration,Revenue and Taxation,"commercial real estate_10,communication skills_7,property valuation_7,microsoft office_6,argus enterprise_6,customer service_6,relationship building_5,team player_4,report writing_4,active certified general real estate appraiser license_4"
"Tax Examiners and Collectors, and Revenue Agents",Government & Public Administration,Revenue and Taxation,"bachelor's degree_106,physical fitness_103,u.s. citizenship_80,medical exam_77,accounting_67,top secret sensitive compartmented information (sci) clearance_58,communication_55,counterterrorism_54,tax preparation_52,customer service_51"
Bioengineers and Biomedical Engineers,Health Science,Biotechnology Research and Development,"process engineering_167,project management_163,data analysis_151,communication_143,troubleshooting_137,problem solving_131,chemical engineering_131,teamwork_111,communication skills_104,mechanical engineering_102"
Bioengineers and Biomedical Engineers,"Science, Technology, Engineering & Mathematics",Engineering and Technology,"process engineering_167,project management_163,data analysis_151,communication_143,troubleshooting_137,problem solving_131,chemical engineering_131,teamwork_111,communication skills_104,mechanical engineering_102"
"Medical Scientists, Except Epidemiologists",Health Science,Biotechnology Research and Development,"data analysis_189,communication_100,communication skills_94,teamwork_91,chemistry_87,quality control_86,molecular biology_79,troubleshooting_71,research_70,project management_70"
Cardiovascular Technologists and Technicians,Health Science,Diagnostic Services,"nuclear medicine_216,patient care_196,radiation safety_117,critical thinking_109,nuclear medicine technology_103,communication_99,radiopharmaceuticals_92,teamwork_92,quality control_82,service excellence_79"
Cytogenetic Technologists,Health Science,Diagnostic Services,"quality control_15,chemistry_12,hematology_12,data review_11,cytogenetics_10,ascp certification_10,wet chemistry_9,reporting templates_9,laboratory_8,good laboratory techniques_8"
